COMMUNITY AREA,Total Population, Not Hispanic or Latino: Asian alone , Not Hispanic or Latino: Black or African American alone , Hispanic or Latino , Not Hispanic or Latino: White alone , Not Hispanic or Latino: Other , Median Household Income 
 ALBANY PARK ,"49,280","6,179","2,520","22,673","16,577","1,331",68667
 ARCHER HEIGHTS ,"13,533",612,104,"10,800","1,991",26,48704
 ARMOUR SQUARE ,"13,401","9,480","1,197",745,"1,863",116,36915
 ASHBURN ,"42,902",356,"19,324","18,331","4,320",571,71366
 AUBURN GRESHAM ,"46,698",124,"44,152",1397,488,537,37332
 AUSTIN ,"95,073",319,"71,951","16,210","5,024",1569,35502
 AVALON PARK ,"9,629",129,"9,123",0,80,297,53941
 AVONDALE ,"37,360","1,670",806,"20,145","13,301",1438,73343
 BELMONT CRAGIN ,"78,788","1,734","1,926","62,943","11,272",913,57868
 BEVERLY ,"19,817",194,"6,562","1,179","11,126",756,108694
 BRIDGEPORT ,"32,901","13,320",736,"6,864","11,646",335,58458
 BRIGHTON PARK ,"42,728","4,517",579,"34,130","3,163",339,45712
 BURNSIDE ,"2,180",0,"1,938",156,55,31,39281
 CALUMET HEIGHTS ,"12,343",8,"11,533",543,108,151,57095
 CHATHAM ,"31,363",77,"30,253",271,269,493,39837
 CHICAGO LAWN ,"51,243",246,"20,369","28,387","1,247",994,36165
 CLEARING ,"24,382",145,621,"13,878","9,510",228,57885
 DOUGLAS ,"21,450","3,121","13,964",1152,"2,270",943,35719
 DUNNING ,"43,587","2,207",909,"14,005","26,028",438,74426
 EAST GARFIELD PARK ,"18,075",159,"15,340",863,"1,074",639,22871
 EAST SIDE ,"22,999",72,408,"19,514","2,963",42,51722
 EDGEWATER ,"58,693","8,059","7,781","9,323","31,412","2,118",58037
 EDISON PARK ,"11,002",282,46,"1,086","9,101",487,112545
 ENGLEWOOD ,"22,019",131,"20,278",866,255,489,21981
 FOREST GLEN ,"19,928","2,038",111,"2,627","14,719",433,128869
 FULLER PARK ,"2,149",1,"1,920",130,67,31,16638
 GAGE PARK ,"35,300",250,"1,649","32,113","1,260",28,42129
 GARFIELD RIDGE ,"36,049",358,"1,671","19,029","14,728",263,78910
 GRAND BOULEVARD ,"23,669",172,"21,200",771,976,550,39030
 GREATER GRAND CROSSING ,"29,429",29,"28,131",590,257,422,30096
 HEGEWISCH ,"9,175",0,631,"5,141","3,386",17,57577
 HERMOSA ,"23,163",534,1046,"19,116","2,291",176,54355
 HUMBOLDT PARK ,"54,401",288,"17,999","30,160","4,907","1,047",41405
 HYDE PARK ,"27,722","3,946","6,773","2,083","13,019","1,901",52141
 IRVING PARK ,"53,604","4,602","1,466","22,062","23,585","1,889",71513
 JEFFERSON PARK ,"27,194","3,151",714,"6,626","15,831",872,76639
 KENWOOD ,"17,972","1,081","11,864",404,"3,759",864,52082
 LAKE VIEW ,"101,428","7,146","4,304","9,102","77,260","3,616",90401
 LINCOLN PARK ,"69,568","5,084","2,636","4,349","55,637","1,862",115907
 LINCOLN SQUARE ,"41,350","3,771","1,234","7,373","26,590","2,382",79696
 LOGAN SQUARE ,"72,305","3,048","3,233","26,061","37,608","2,355",83808
 LOOP ,"39,327","8,287","2,784","3,761","23,194",1301,112045
 LOWER WEST SIDE ,"32,672",1476,"1,020","22,308","7,275",593,59869
 MCKINLEY PARK ,"15,246","4,572",184,"8,044","2,350",96,61512
 MONTCLARE ,"14,382",365,448,"8,003","5,207",359,55498
 MORGAN PARK ,"20,526",86,"12,607",910,"6,237",686,63517
 MOUNT GREENWOOD ,"18,840",303,609,"1,975","15,287",666,97101
 NEAR NORTH SIDE ,"98,528","14,091","7,062","6,100","68,030","3,245",108578
 NEAR SOUTH SIDE ,"26,376","5,030","5,932","1,104","13,556",754,114631
 NEAR WEST SIDE ,"62,816","11,625","15,213","6,275","27,402","2,301",91907
 NEW CITY ,"39,055",735,"9,020","24,111","4,861",328,35396
 NORTH CENTER ,"36,142","2,156",923,"4,323","27,005","1,735",132628
 NORTH LAWNDALE ,"31,310",69,"25,881","3,509",1495,356,30848
 NORTH PARK ,"18,806","4,939",421,"3,522","9,167",757,60301
 NORWOOD PARK ,"38,088","1,674",249,"5,887","29,301",977,88578
 OAKLAND ,"6,973",114,"6,043",407,307,102,36718
 OHARE ,"13,285",2096,892,1091,"8,921",285,60532
 PORTAGE PARK ,"63,919","3,799",1048,"27,173","30,042","1,857",75635
 PULLMAN ,"7,131",5,"5,732",307,857,230,47908
 RIVERDALE ,"7,414",0,"7,071",271,72,0,19609
ROGERS PARK,"55,643","3,018","15,059","10,537","24,644","2,385",46164
 ROSELAND ,"39,623",106,"37,764",521,608,624,43957
 SOUTH CHICAGO ,"29,977",114,"22,565","6,182",857,259,39778
 SOUTH DEERING ,"15,144",0,"9,646","4,690",753,55,30115
 SOUTH LAWNDALE ,"70,235",260,"9,103","56,749","3,884",239,36787
 SOUTH SHORE ,"50,275",114,"46,745",1285,"1,462",669,35166
 UPTOWN ,"59,453","6,173","10,752","8,911","31,611","2,006",57576
 WASHINGTON HEIGHTS ,"26,940",47,"25,722",393,451,327,53182
 WASHINGTON PARK ,"10,427",0,"9,559",233,191,444,23146
 WEST ELSDON ,"18,523",513,125,"15,134","2,724",27,53771
 WEST ENGLEWOOD ,"26,158",20,"22,733","2,508",393,504,26290
 WEST GARFIELD PARK ,"16,489",3,"15,238",574,456,218,29371
 WEST LAWN ,"32,162",73,801,"27,364","3,819",105,54341
 WEST PULLMAN ,"26,484",0,"23,890","1,815",233,546,46271
 WEST RIDGE ,"78,763","16,556","9,166","15,514","33,123","4,404",57621
 WEST TOWN ,"80,383","4,326","4,817","17,308","50,467","3,465",109742
 WOODLAWN ,"24,967",817,"20,641",738,"1,970",801,30479
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
